,subject,type,condition,goal,block,block_num,block_instr_text,trial_num,stim_0,stim_0_value,stim_1,stim_1_value,position_changed,stim_left,stim_right,stim_left_name,stim_right_name,stim_left_name_feedback,stim_right_name_feedback,optimal_stim,optimal_choice
0,12,0,self,win,self_win,1,Play to WIN points,0,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
1,12,0,self,win,self_win,1,Play to WIN points,1,stimuli/slot2_up.jpg,0,stimuli/slot1_up.jpg,1,0,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right
2,12,0,self,win,self_win,1,Play to WIN points,2,stimuli/slot2_up.jpg,0,stimuli/slot1_up.jpg,1,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left
3,12,0,self,win,self_win,1,Play to WIN points,3,stimuli/slot2_up.jpg,0,stimuli/slot1_up.jpg,1,0,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right
4,12,0,self,win,self_win,1,Play to WIN points,4,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,0,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot2_up.jpg,left
5,12,0,self,win,self_win,1,Play to WIN points,5,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
6,12,0,self,win,self_win,1,Play to WIN points,6,stimuli/slot2_up.jpg,0,stimuli/slot1_up.jpg,1,0,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right
7,12,0,self,win,self_win,1,Play to WIN points,7,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,0,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot2_up.jpg,left
8,12,0,self,win,self_win,1,Play to WIN points,8,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,0,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot2_up.jpg,left
9,12,0,self,win,self_win,1,Play to WIN points,9,stimuli/slot2_up.jpg,0,stimuli/slot1_up.jpg,1,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left
10,12,0,self,win,self_win,1,Play to WIN points,10,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,0,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot2_up.jpg,left
11,12,0,self,win,self_win,1,Play to WIN points,11,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
12,12,0,self,win,self_win,1,Play to WIN points,12,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
13,12,0,self,win,self_win,1,Play to WIN points,13,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
14,12,0,self,win,self_win,1,Play to WIN points,14,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
15,12,0,self,win,self_win,1,Play to WIN points,15,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,0,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot2_up.jpg,left
16,12,0,self,win,self_win,1,Play to WIN points,16,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,0,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot2_up.jpg,left
17,12,0,self,win,self_win,1,Play to WIN points,17,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
18,12,0,self,win,self_win,1,Play to WIN points,18,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
19,12,0,self,win,self_win,1,Play to WIN points,19,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
20,12,0,self,win,self_win,1,Play to WIN points,20,stimuli/slot2_up.jpg,0,stimuli/slot1_up.jpg,1,0,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right
21,12,0,self,win,self_win,1,Play to WIN points,21,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
22,12,0,self,win,self_win,1,Play to WIN points,22,stimuli/slot2_up.jpg,0,stimuli/slot1_up.jpg,1,0,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right
23,12,0,self,win,self_win,1,Play to WIN points,23,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
24,12,0,self,win,self_win,1,Play to WIN points,24,stimuli/slot2_up.jpg,0,stimuli/slot1_up.jpg,1,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left
25,12,0,self,win,self_win,1,Play to WIN points,25,stimuli/slot2_up.jpg,0,stimuli/slot1_up.jpg,1,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left
26,12,0,self,win,self_win,1,Play to WIN points,26,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
27,12,0,self,win,self_win,1,Play to WIN points,27,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
28,12,0,self,win,self_win,1,Play to WIN points,28,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,0,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot2_up.jpg,left
29,12,0,self,win,self_win,1,Play to WIN points,29,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
30,12,0,self,win,self_win,1,Play to WIN points,30,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
31,12,0,self,win,self_win,1,Play to WIN points,31,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
32,12,0,self,win,self_win,1,Play to WIN points,32,stimuli/slot2_up.jpg,0,stimuli/slot1_up.jpg,1,0,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right
33,12,0,self,win,self_win,1,Play to WIN points,33,stimuli/slot2_up.jpg,1,stimuli/slot1_up.jpg,0,1,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right
