index,subject,order_num,session,condition,goal,block,block_num,block_instr_text,trial_num,stim_0,stim_0_value,stim_1,stim_1_value,position_changed,stim_left,stim_right,stim_left_name,stim_right_name,optimal_stim,optimal_choice
0,6,2,0,social,win,social_win,1,"Play to WIN points

for the NEXT PARTICIPANT",0,stimuli/tunga_07.bmp,1,stimuli/tunga_09.bmp,0,0,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,left
1,6,2,0,social,win,social_win,1,"Play to WIN points

for the NEXT PARTICIPANT",1,stimuli/tunga_07.bmp,1,stimuli/tunga_09.bmp,0,0,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,left
2,6,2,0,social,win,social_win,1,"Play to WIN points

for the NEXT PARTICIPANT",2,stimuli/tunga_07.bmp,1,stimuli/tunga_09.bmp,0,0,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,left
3,6,2,0,social,win,social_win,1,"Play to WIN points

for the NEXT PARTICIPANT",3,stimuli/tunga_07.bmp,1,stimuli/tunga_09.bmp,0,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,stimuli/tunga_07.bmp,right
4,6,2,0,social,win,social_win,1,"Play to WIN points

for the NEXT PARTICIPANT",4,stimuli/tunga_07.bmp,0,stimuli/tunga_09.bmp,1,0,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,stimuli/tunga_09.bmp,right
5,6,2,0,social,win,social_win,1,"Play to WIN points

for the NEXT PARTICIPANT",5,stimuli/tunga_07.bmp,1,stimuli/tunga_09.bmp,0,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,stimuli/tunga_07.bmp,right
6,6,2,0,social,win,social_win,1,"Play to WIN points

for the NEXT PARTICIPANT",6,stimuli/tunga_07.bmp,0,stimuli/tunga_09.bmp,1,0,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,stimuli/tunga_09.bmp,right
7,6,2,0,social,win,social_win,1,"Play to WIN points

for the NEXT PARTICIPANT",7,stimuli/tunga_07.bmp,1,stimuli/tunga_09.bmp,0,0,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,left
8,6,2,0,social,win,social_win,1,"Play to WIN points

for the NEXT PARTICIPANT",8,stimuli/tunga_07.bmp,0,stimuli/tunga_09.bmp,1,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,left
9,6,2,0,social,win,social_win,1,"Play to WIN points

for the NEXT PARTICIPANT",9,stimuli/tunga_07.bmp,1,stimuli/tunga_09.bmp,0,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,stimuli/tunga_07.bmp,right
10,6,2,0,social,win,social_win,1,"Play to WIN points

for the NEXT PARTICIPANT",10,stimuli/tunga_07.bmp,1,stimuli/tunga_09.bmp,0,0,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,left
