,subject,type,condition,goal,block,block_num,block_instr_text,trial_num,stim_0,stim_0_value,stim_1,stim_1_value,position_changed,stim_left,stim_right,stim_left_name,stim_right_name,stim_left_name_feedback,stim_right_name_feedback,optimal_stim,optimal_choice
0,14,0,self,win,practice,1,Play to WIN points,0,stimuli/slotA_up.jpg,1,stimuli/slotB_up.jpg,0,1,2,1,stimuli/slotB_up.jpg,stimuli/slotA_up.jpg,stimuli/slotB_down.jpg,stimuli/slotA_down.jpg,stimuli/slotA_up.jpg,right
1,14,0,self,win,practice,1,Play to WIN points,1,stimuli/slotA_up.jpg,1,stimuli/slotB_up.jpg,0,0,1,2,stimuli/slotA_up.jpg,stimuli/slotB_up.jpg,stimuli/slotA_down.jpg,stimuli/slotB_down.jpg,stimuli/slotA_up.jpg,left
2,14,0,self,win,practice,1,Play to WIN points,2,stimuli/slotA_up.jpg,0,stimuli/slotB_up.jpg,1,1,2,1,stimuli/slotB_up.jpg,stimuli/slotA_up.jpg,stimuli/slotB_down.jpg,stimuli/slotA_down.jpg,stimuli/slotB_up.jpg,left
3,14,0,self,win,practice,1,Play to WIN points,3,stimuli/slotA_up.jpg,1,stimuli/slotB_up.jpg,0,1,2,1,stimuli/slotB_up.jpg,stimuli/slotA_up.jpg,stimuli/slotB_down.jpg,stimuli/slotA_down.jpg,stimuli/slotA_up.jpg,right
4,14,0,self,win,practice,1,Play to WIN points,4,stimuli/slotA_up.jpg,1,stimuli/slotB_up.jpg,0,1,2,1,stimuli/slotB_up.jpg,stimuli/slotA_up.jpg,stimuli/slotB_down.jpg,stimuli/slotA_down.jpg,stimuli/slotA_up.jpg,right
5,14,0,self,win,practice,1,Play to WIN points,5,stimuli/slotA_up.jpg,1,stimuli/slotB_up.jpg,0,1,2,1,stimuli/slotB_up.jpg,stimuli/slotA_up.jpg,stimuli/slotB_down.jpg,stimuli/slotA_down.jpg,stimuli/slotA_up.jpg,right
6,14,0,self,win,practice,1,Play to WIN points,6,stimuli/slotA_up.jpg,0,stimuli/slotB_up.jpg,1,1,2,1,stimuli/slotB_up.jpg,stimuli/slotA_up.jpg,stimuli/slotB_down.jpg,stimuli/slotA_down.jpg,stimuli/slotB_up.jpg,left
7,14,0,self,win,practice,1,Play to WIN points,7,stimuli/slotA_up.jpg,1,stimuli/slotB_up.jpg,0,1,2,1,stimuli/slotB_up.jpg,stimuli/slotA_up.jpg,stimuli/slotB_down.jpg,stimuli/slotA_down.jpg,stimuli/slotA_up.jpg,right
8,14,0,self,win,practice,1,Play to WIN points,8,stimuli/slotA_up.jpg,1,stimuli/slotB_up.jpg,0,1,2,1,stimuli/slotB_up.jpg,stimuli/slotA_up.jpg,stimuli/slotB_down.jpg,stimuli/slotA_down.jpg,stimuli/slotA_up.jpg,right
9,14,0,self,win,practice,1,Play to WIN points,9,stimuli/slotA_up.jpg,1,stimuli/slotB_up.jpg,0,0,1,2,stimuli/slotA_up.jpg,stimuli/slotB_up.jpg,stimuli/slotA_down.jpg,stimuli/slotB_down.jpg,stimuli/slotA_up.jpg,left
10,14,0,self,win,practice,1,Play to WIN points,10,stimuli/slotA_up.jpg,1,stimuli/slotB_up.jpg,0,0,1,2,stimuli/slotA_up.jpg,stimuli/slotB_up.jpg,stimuli/slotA_down.jpg,stimuli/slotB_down.jpg,stimuli/slotA_up.jpg,left
11,14,0,self,win,practice,1,Play to WIN points,11,stimuli/slotA_up.jpg,1,stimuli/slotB_up.jpg,0,1,2,1,stimuli/slotB_up.jpg,stimuli/slotA_up.jpg,stimuli/slotB_down.jpg,stimuli/slotA_down.jpg,stimuli/slotA_up.jpg,right
12,14,0,self,win,practice,1,Play to WIN points,12,stimuli/slotA_up.jpg,0,stimuli/slotB_up.jpg,1,0,1,2,stimuli/slotA_up.jpg,stimuli/slotB_up.jpg,stimuli/slotA_down.jpg,stimuli/slotB_down.jpg,stimuli/slotB_up.jpg,right
13,14,0,self,win,practice,1,Play to WIN points,13,stimuli/slotA_up.jpg,0,stimuli/slotB_up.jpg,1,0,1,2,stimuli/slotA_up.jpg,stimuli/slotB_up.jpg,stimuli/slotA_down.jpg,stimuli/slotB_down.jpg,stimuli/slotB_up.jpg,right
14,14,0,self,win,practice,1,Play to WIN points,14,stimuli/slotA_up.jpg,1,stimuli/slotB_up.jpg,0,1,2,1,stimuli/slotB_up.jpg,stimuli/slotA_up.jpg,stimuli/slotB_down.jpg,stimuli/slotA_down.jpg,stimuli/slotA_up.jpg,right
15,14,0,self,win,practice,1,Play to WIN points,15,stimuli/slotA_up.jpg,1,stimuli/slotB_up.jpg,0,1,2,1,stimuli/slotB_up.jpg,stimuli/slotA_up.jpg,stimuli/slotB_down.jpg,stimuli/slotA_down.jpg,stimuli/slotA_up.jpg,right
