,stim_A,stim_B,choice,outcome
0,0.8,0.2,1,1
1,0.8,0.2,1,1
2,0.8,0.2,1,0
3,0.8,0.2,1,1
4,0.8,0.2,1,0
5,0.8,0.2,1,1
6,0.8,0.2,1,1
7,0.8,0.2,1,1
8,0.8,0.2,1,1
9,0.8,0.2,1,1
10,0.8,0.2,1,1
11,0.8,0.2,1,1
12,0.8,0.2,1,1
13,0.8,0.2,1,1
14,0.8,0.2,1,1
15,0.8,0.2,1,1
16,0.8,0.2,1,1
17,0.8,0.2,0,0
18,0.8,0.2,1,1
19,0.8,0.2,1,0
20,0.8,0.2,0,0
21,0.8,0.2,1,1
22,0.8,0.2,1,1
23,0.8,0.2,1,1
24,0.8,0.2,1,1
25,0.8,0.2,1,1
26,0.8,0.2,1,1
27,0.8,0.2,1,0
28,0.8,0.2,0,0
29,0.8,0.2,0,0
30,0.8,0.2,1,1
31,0.8,0.2,1,0
32,0.8,0.2,0,0
33,0.8,0.2,1,1
34,0.8,0.2,1,1
35,0.8,0.2,1,1
36,0.8,0.2,1,1
37,0.8,0.2,1,1
38,0.8,0.2,1,1
39,0.8,0.2,1,0
40,0.8,0.2,0,0
41,0.8,0.2,1,0
42,0.8,0.2,0,0
43,0.8,0.2,0,1
44,0.8,0.2,0,0
45,0.8,0.2,0,0
46,0.8,0.2,1,1
47,0.8,0.2,1,1
48,0.8,0.2,1,1
49,0.8,0.2,1,1
