,stim_A,stim_B,choice,outcome
0,0.2,0.8,0,1
1,0.2,0.8,0,1
2,0.2,0.8,0,0
3,0.2,0.8,0,0
4,0.2,0.8,1,1
5,0.2,0.8,1,1
6,0.2,0.8,1,1
7,0.2,0.8,1,1
8,0.2,0.8,1,1
9,0.2,0.8,1,1
10,0.2,0.8,1,0
11,0.2,0.8,1,1
12,0.2,0.8,1,1
13,0.2,0.8,1,1
14,0.2,0.8,1,1
15,0.2,0.8,1,1
16,0.2,0.8,1,1
17,0.2,0.8,1,1
18,0.2,0.8,1,0
19,0.2,0.8,1,1
20,0.2,0.8,1,1
21,0.2,0.8,1,1
22,0.2,0.8,1,0
23,0.2,0.8,0,1
24,0.2,0.8,0,0
25,0.2,0.8,1,1
26,0.2,0.8,1,1
27,0.2,0.8,1,1
28,0.2,0.8,1,1
29,0.2,0.8,1,1
30,0.2,0.8,1,1
31,0.2,0.8,1,1
32,0.2,0.8,1,1
33,0.2,0.8,1,0
34,0.2,0.8,1,1
35,0.2,0.8,1,1
36,0.2,0.8,1,1
37,0.2,0.8,1,1
38,0.2,0.8,1,1
39,0.2,0.8,1,1
40,0.2,0.8,1,1
41,0.2,0.8,1,1
42,0.2,0.8,1,0
43,0.2,0.8,1,1
44,0.2,0.8,1,1
45,0.2,0.8,1,1
46,0.2,0.8,1,1
47,0.2,0.8,1,0
48,0.2,0.8,0,1
49,0.2,0.8,0,0
