,stim_A,stim_B,choice,outcome
0,0.8,0.2,0,0
1,0.8,0.2,1,1
2,0.8,0.2,0,0
3,0.8,0.2,1,0
4,0.8,0.2,1,1
5,0.8,0.2,1,1
6,0.8,0.2,1,1
7,0.8,0.2,1,1
8,0.8,0.2,1,1
9,0.8,0.2,1,1
10,0.8,0.2,0,0
11,0.8,0.2,1,1
12,0.8,0.2,1,1
13,0.8,0.2,1,1
14,0.8,0.2,0,0
15,0.8,0.2,1,1
16,0.8,0.2,1,1
17,0.8,0.2,1,1
18,0.8,0.2,1,0
19,0.8,0.2,1,0
20,0.8,0.2,1,0
21,0.8,0.2,1,1
22,0.8,0.2,1,0
23,0.8,0.2,0,0
24,0.8,0.2,1,0
25,0.8,0.2,1,0
26,0.8,0.2,0,0
27,0.8,0.2,0,1
28,0.8,0.2,0,0
29,0.8,0.2,1,0
30,0.8,0.2,1,1
31,0.8,0.2,0,0
32,0.8,0.2,1,1
33,0.8,0.2,1,1
34,0.8,0.2,0,0
35,0.8,0.2,1,0
36,0.8,0.2,1,0
37,0.8,0.2,0,0
38,0.8,0.2,1,1
39,0.8,0.2,1,1
40,0.8,0.2,1,0
41,0.8,0.2,0,0
42,0.8,0.2,0,0
43,0.8,0.2,0,0
44,0.8,0.2,0,0
45,0.8,0.2,1,1
46,0.8,0.2,1,1
47,0.8,0.2,1,1
48,0.8,0.2,0,0
49,0.8,0.2,1,1
